seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
191,44812994920,44813146840,151920,17760,3440,3600,13760,23320,26920,28000,65520,-3480,ok
192,44813247600,44813398360,150760,18200,3400,3560,13240,22600,26160,27960,65200,-3400,ok
193,44813499120,44813649600,150480,17680,3400,3520,13400,23000,26520,28120,64720,-3360,ok
194,44813750280,44813901840,151560,18040,3440,3560,13480,21680,25240,28000,66760,-3400,ok
195,44814002520,44814154000,151480,17760,3440,3560,13120,23760,27320,28000,65280,-3440,ok
196,44814254920,44814405560,150640,18200,3400,3560,13120,22400,25960,28280,65040,-3360,ok
197,44814506320,44814656600,150280,17800,3400,3520,13280,23000,26520,27960,64680,-3360,ok
198,44814757600,44814907640,150040,17960,3400,3600,13000,22520,26120,28080,64920,-3440,ok
199,44815008080,44815160040,151960,17640,3480,3640,13400,23440,27080,28400,65400,-3440,ok
200,44815261160,44815412040,150880,18200,3400,3560,13240,22920,26480,27960,65040,-3440,ok
201,44815512400,44815663400,151000,17880,3400,3520,13520,22760,26280,28040,65240,-3360,ok
202,44815796520,44815950440,153920,18720,3600,3720,13360,24200,27920,28200,65720,-3600,ok
203,44816111120,44816267840,156720,19080,3560,3680,13480,24080,27760,29160,67240,-3560,ok
204,44816370840,44816522160,151320,18360,3560,3680,13080,23040,26720,28600,64560,-3560,ok
205,44816622520,44816773240,150720,17760,3600,3720,13360,22320,26040,28520,65000,-3560,ok
206,44816873160,44817025920,152760,17840,3560,3720,13280,22960,26680,28360,66600,-3560,ok
207,44817126120,44817277400,151280,17760,3560,3720,13000,23360,27080,28240,65160,-3520,ok
208,44817377240,44817528280,151040,18280,3600,3760,13320,22720,26480,28360,64560,-3560,ok
209,44817628800,44817779080,150280,17760,3600,3720,13120,22320,26040,28320,65040,-3600,ok
210,44817878920,44818029600,150680,17760,3560,3720,13160,22760,26480,28400,64880,-3560,ok
211,44818129880,44818282040,152160,17720,3600,3720,13280,23680,27400,28760,64960,-3560,ok
212,44818381840,44818533200,151360,17920,3560,3720,13080,23560,27280,28360,64680,-3520,ok
213,44818668200,44818822600,154400,18800,3600,3720,13480,23920,27640,28920,65520,-3560,ok
214,44818924160,44819074920,150760,18080,3680,3800,13040,22840,26640,28440,64520,-3640,ok
215,44819175200,44819326720,151520,17640,3600,3760,13160,23480,27240,28720,64760,-3600,ok
216,44819426400,44819577720,151320,18000,3600,3720,12840,23520,27240,28240,64960,-3560,ok
217,44819677600,44819827800,150200,17720,3600,3760,13560,22320,26080,28480,64400,-3640,ok
218,44819927360,44820124680,197320,17960,3600,3760,13160,22520,26280,69960,69960,-3600,ok
219,44820228880,44820382680,153800,18240,3440,3600,13440,24760,28360,28960,64760,-3400,ok
220,44820484240,44820636040,151800,18000,3400,3600,13160,23520,27120,28320,65200,-3400,ok
221,44820736680,44820887560,150880,18000,3440,3560,13400,23080,26640,28360,64440,-3400,ok
222,44820987880,44821138240,150360,17880,3480,3600,13240,22520,26120,28360,64720,-3440,ok
223,44821238040,44821390280,152240,17760,3480,3640,13480,23720,27360,28560,65040,-3440,ok
224,44821524560,44821681120,156560,20200,3680,3800,13240,25880,29680,28240,65160,-3640,ok
225,44821783840,44821934800,150960,18200,3800,3760,13600,22160,25920,28440,64600,-3600,ok
226,44822035320,44822186120,150800,18000,3640,3760,12680,23280,27040,28280,64760,-3600,ok
227,44822286880,44822440120,153240,18040,3760,3760,13600,23520,27280,28720,65400,-3560,ok
228,44822541080,44822692960,151880,18120,3640,3800,13000,24080,27880,28400,64440,-3600,ok
229,44822794080,44822944560,150480,18040,3760,3760,13400,22640,26400,28240,64240,-3600,ok
230,44823044720,44823195400,150680,18160,3600,3720,13240,23120,26840,28160,64280,-3600,ok
231,44823296240,44823449560,153320,18200,3760,3720,13480,23880,27600,28920,64920,-3560,ok
232,44823550080,44823702120,152040,18200,3640,3760,13240,23840,27600,28320,64680,-3640,ok
233,44823803000,44823953640,150640,18040,3760,3720,13480,22680,26400,28280,64240,-3560,ok
234,44824121440,44824275840,154400,18560,3760,3920,13200,24160,28080,28840,65720,-3760,ok
235,44824379040,44824531880,152840,18600,3800,3800,13520,22760,26560,28920,65040,-3600,ok
236,44824700680,44824860600,159920,21080,3560,3520,13280,26520,30040,28160,67160,-3360,ok
237,44824964120,44825115320,151200,17880,3720,3680,13080,22760,26440,28720,64880,-3520,ok
238,44825215720,44825365400,149680,17960,3600,3720,13520,22040,25760,27640,64840,-3640,ok
239,44825465360,44825617080,151720,17880,3760,3720,13640,23440,27160,28200,64640,-3560,ok
240,44825717960,44825870600,152640,20000,3440,3680,13280,22360,26040,28200,65080,-3400,ok
241,44825971240,44826123560,152320,20080,3560,3720,13040,22920,26640,27960,64480,-3440,ok
242,44826224840,44826377160,152320,20160,3400,3720,13320,22240,25960,27960,64920,-3400,ok
243,44826478240,44826632280,154040,19920,3680,3760,13160,23640,27400,28600,64760,-3480,ok
244,44826733280,44826885680,152400,20080,3400,3680,13120,23120,26800,28040,64360,-3400,ok
245,44826986920,44827138320,151400,20200,3600,3680,13080,22240,25920,28000,64000,-3400,ok
246,44827239080,44827390680,151600,19920,3400,3720,13680,21720,25440,28040,64520,-3400,ok
247,44827523480,44827681000,157520,20760,3720,3800,13680,25200,29000,28480,65400,-3520,ok
248,44827783200,44827935720,152520,20200,3480,3760,12920,23040,26800,28280,64280,-3440,ok
249,44828091160,44828247560,156400,21920,3280,3600,13560,22640,26240,28800,65880,-3280,ok
250,44828349240,44828501520,152280,20000,3320,3600,13600,22000,25600,28600,64440,-3280,ok
251,44828602560,44828756760,154200,20320,3320,3640,13520,23160,26800,28720,64840,-3320,ok
252,44828857560,44829011240,153680,20280,3320,3560,13320,23520,27080,28560,64400,-3280,ok
253,44829112120,44829264400,152280,20280,3320,3640,13600,22280,25920,28280,64200,-3320,ok
