seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
294,192244331200,192244501560,170360,19400,3360,3640,12440,28200,31840,38560,67920,-3160,ok
295,192244604320,192244778680,174360,19880,3520,3760,12840,28600,32360,40120,68960,-3320,ok
296,192244881600,192245054120,172520,20200,3560,3800,12560,28640,32440,38880,68240,-3360,ok
297,192245157000,192245329280,172280,20120,3520,3800,12960,28440,32240,38800,68000,-3360,ok
298,192245468400,192245647080,178680,20400,3560,3800,12000,32560,36360,39960,69760,-3360,ok
299,192245751800,192245926520,174720,20280,3360,3600,13440,29600,33200,38920,68720,-3200,ok
300,192246029360,192246202560,173200,19960,3680,3800,12240,29560,33360,38680,68760,-3480,ok
301,192246304600,192246476800,172200,19880,3680,3760,12880,28560,32320,38960,67960,-3480,ok
302,192246579560,192246753080,173520,20000,3640,3760,12160,29880,33640,39040,68520,-3480,ok
303,192246855760,192247031280,175520,19840,3600,3760,12800,31160,34920,39040,68760,-3440,ok
